Postcode,Borough,Latitude,Longitude
94110,ARCUEIL,48.805880359700005,2.33351024984
94360,BRY SUR MARNE,48.8384095661,2.5231965762599997
94500,CHAMPIGNY SUR MARNE,48.81725436399999,2.51709815257
94170,LE PERREUX SUR MARNE,48.8423952383,2.50406848573
94150,RUNGIS,48.7494821504,2.35281832827
94160,ST MANDE,48.842440243,2.4192191088
94210,ST MAUR DES FOSSES,48.7990677797,2.4938645045200003
94440,SANTENY,48.7356177142,2.57637480242
94440,VILLECRESNES,48.720869248599996,2.53157741439
94300,VINCENNES,48.847373204499995,2.43798650741
94390,PARAY VIEILLE POSTE,48.724184821899996,2.3598349385
94480,ABLON SUR SEINE,48.7238409464,2.42117629348
94430,CHENNEVIERES SUR MARNE,48.797650287799996,2.5415763007299996
94550,CHEVILLY LARUE,48.76684800100001,2.35306611234
94600,CHOISY LE ROI,48.764315118,2.41742518222
94120,FONTENAY SOUS BOIS,48.8511046382,2.47395409774
94260,FRESNES,48.7571343016,2.32612839743
94200,IVRY SUR SEINE,48.8128063812,2.3877802361200002
94340,JOINVILLE LE PONT,48.819368321599995,2.4704497780900003
94880,NOISEAU,48.774315467,2.55542375351
94520,PERIGNY,48.69683596350001,2.56167940426
94510,LA QUEUE EN BRIE,48.7775866104,2.5838557760799996
94410,ST MAURICE,48.8184921372,2.4374501341999997
94370,SUCY EN BRIE,48.765645659300006,2.5330560803
94370,SUCY EN BRIE,48.765645659300006,2.5330560803
94140,ALFORTVILLE,48.796084386400004,2.4212459324099997
94220,CHARENTON LE PONT,48.8228084978,2.40760915477
94250,GENTILLY,48.8132044389,2.3442065970200003
94240,L HAY LES ROSES,48.776320784300005,2.3377291560900004
94490,ORMESSON SUR MARNE,48.7854562744,2.53924214317
94100,ST MAUR DES FOSSES,48.7990677797,2.4938645045200003
94460,VALENTON,48.752872402,2.4612947957299998
94190,VILLENEUVE ST GEORGES,48.741380963699996,2.448998846
94350,VILLIERS SUR MARNE,48.825958616499996,2.5452048329299997
94400,VITRY SUR SEINE,48.7882828307,2.39412680533
94470,BOISSY ST LEGER,48.747035992200004,2.52528049019
94380,BONNEUIL SUR MARNE,48.7733620104,2.48799310463
94230,CACHAN,48.791612164600004,2.33153313164
94500,CHAMPIGNY SUR MARNE,48.81725436399999,2.51709815257
94000,CRETEIL,48.783740183599996,2.45463530415
94270,LE KREMLIN BICETRE,48.809220102,2.3565796524300002
94450,LIMEIL BREVANNES,48.7450357782,2.48936184357
94440,MAROLLES EN BRIE,48.739478061599996,2.5549133845500003
94420,LE PLESSIS TREVISE,48.8060154583,2.57619846918
94700,MAISONS ALFORT,48.8063923267,2.43818248906
94520,MANDRES LES ROSES,48.7058880174,2.54830741614
94130,NOGENT SUR MARNE,48.8366634713,2.48166741533
94310,ORLY,48.7429320073,2.3946829699900003
94320,THIAIS,48.760784192799996,2.38537729524
94460,VALENTON,48.752872402,2.4612947957299998
94800,VILLEJUIF,48.7928547268,2.36006103249
94290,VILLENEUVE LE ROI,48.7320914576,2.41037420069
