Postcode,Borough,Latitude,Longitude
92290,CHATENAY MALABRY,48.768169019700004,2.26282598525
92700,COLOMBES,48.9225179147,2.24675160629
92260,FONTENAY AUX ROSES,48.789730131199995,2.28723493557
92380,GARCHES,48.84501135479999,2.18665007789
92230,GENNEVILLIERS,48.93451905479999,2.2938498797299998
92240,MALAKOFF,48.8169695977,2.29693599517
92500,RUEIL MALMAISON,48.8691897371,2.1773406315
92150,SURESNES,48.8698479132,2.21965517625
92340,BOURG LA REINE,48.7799073627,2.31643010763
92000,NANTERRE,48.896070128199995,2.20671346353
92270,BOIS COLOMBES,48.915336842600006,2.26738552597
92370,CHAVILLE,48.8076083562,2.19234061062
92400,COURBEVOIE,48.8984504771,2.25570587289
92250,LA GARENNE COLOMBES,48.9067577111,2.24464604084
92190,MEUDON,48.8037275796,2.22696287829
92120,MONTROUGE,48.8153032159,2.31648921432
92350,LE PLESSIS ROBINSON,48.7804383642,2.26064286011
92210,ST CLOUD,48.8428741034,2.2086457031599998
92170,VANVES,48.821522708900005,2.28739490768
92390,VILLENEUVE LA GARENNE,48.9364061917,2.3244899594299997
92100,BOULOGNE BILLANCOURT,48.8365843138,2.23913599058
92320,CHATILLON,48.8034091756,2.28799131883
92140,CLAMART,48.7964306792,2.25474652922
92140,CLAMART,48.7964306792,2.25474652922
92110,CLICHY,48.9035359139,2.3057523045200004
92130,ISSY LES MOULINEAUX,48.82347434,2.2644982327700003
92360,MEUDON,48.8037275796,2.22696287829
92200,NEUILLY SUR SEINE,48.8853719688,2.26642584746
92350,LE PLESSIS ROBINSON,48.7804383642,2.26064286011
92500,RUEIL MALMAISON,48.8691897371,2.1773406315
92310,SEVRES,48.82147650899999,2.21052297438
92410,VILLE D AVRAY,48.8215895592,2.17761311514
92160,ANTONY,48.7503412602,2.2993268102
92600,ASNIERES SUR SEINE,48.915353012299995,2.2880384662999997
92220,BAGNEUX,48.7983229866,2.3098999521200003
92300,LEVALLOIS PERRET,48.895071672,2.28688268127
92430,MARNES LA COQUETTE,48.830271264,2.16647261735
92800,PUTEAUX,48.883709496899996,2.23834178314
92330,SCEAUX,48.776816368999995,2.29529414514
92420,VAUCRESSON,48.8410515899,2.1602645516099996
